year,event
1942,"By August 1942, the Allied forces were on the offensive, earning victories in the New Guinea campaign at Guadalcanal , Milne Bay and Buna-Gona ."
1943,"However, the development of the destroyer and aircraft with a longer patrol range were effective at countering the U-boat threat and by December 1943, the Germans had lost the battle."
1943,"Then, on 10 July 1943, the Allies invaded Sicily , in preparation for an advance through Italy, the ""soft underbelly"" of the Axis, as Winston Churchill called it."
1943,"Throughout the rest of 1942 and 1943, the Soviets began to gain ground against the Germans after some victories like the tank battle of Kursk ."
1943,"By the winter of 1943, the southern half of Italy was in Allied hands."
1944,"By July 1944, the US recaptured Guam and captured Tinian , which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers."
1944,The irony of this was that the escaped men would form the core of the army that was to invade the beaches of Normandy in 1944.
1944,"By the beginning of 1944, Hitler had lost all initiative in the Soviet Union, and was struggling even to hold back the tide turning against him."
1944,"In the winter of 1944, Hitler put everything into one last desperate gamble in the West, known as the Battle of the Bulge , which, despite an initial advance, was a failure, because the introduction of new Allied tanks and low troop numbers among the Germans prevented any real action being taken."
1944,"On 20 July 1944, a group of conspiring German officers attempted to assassinate Hitler."
1944,"On 6 June 1944, the Western Allies finally launched the long-awaited assault on ""Fortress Europe"" so wanted by Stalin."
1944,"The Battle of the Atlantic took place from 1942 to 1944 and was described as ""longest, largest, and most complex naval battle in history""."
1944,"The Germans offered staunch resistance, but by 4 June 1944, Rome had fallen."
1944,"From 1942 to 1944, the United States and Britain acted in only a limited manner in the European theater, much to the chagrin of Stalin."
1945,"The Germans held out another 7 days under Admiral Doenitz , their new leader, but the Germans surrendered unconditionally on 7 May 1945, ending the war in Europe (see V-E Day )."
1945,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics ."
1945,"The Korean Peninsula was a Japanese colony between 1910 and 1945, when Soviet and American troops invaded and divided it along the 38th parallel ."
1945,These were dropped on the Japanese cities of Hiroshima and Nagasaki on 6 and 9 August 1945 each.
1945,"However, Germany had surrendered in May 1945, and it had been discovered that the German atomic bomb program had not been very close to success."
1945,"The formal Japanese Instrument of Surrender was signed on 2 September 1945, on the battleship USS Missouri , in Tokyo Bay ."
1945,"Continuing to come nearer the main Japanese islands, on 1 April 1945 the US Marines mounted the largest amphibious assault of the Pacific Theater on the island of Okinawa ."
1945,"By early 1945, the Americans set their eyes on the Japanese island of Iwo Jima, which was of great strategic importance, being situated halfway between Tokyo and the Mariana Islands ."
1945,"In early February 1945, the three Allied leaders, Franklin Roosevelt , Winston Churchill , and Joseph Stalin , met at newly liberated Yalta in the Crimea in the Soviet Union in the Yalta Conference ."
1945,"At the beginning of 1945, Hitler was on his last strings."
1945,"At the secret Los Alamos laboratory in New Mexico , scientist Robert Oppenheimer led a team of the world's top scientists to develop the first nuclear weapons, the first of which was tested at the Trinity site in July 1945."
1945,"A new attempt at world peace was begun with the founding of the United Nations on 24 October 1945, in San Francisco."
1946,"In 1946, there were 35 member states in the United Nations, but as the newly independent nations joined the organization, by 1970 membership increased to 127."
1946,"In March 1946, Winston Churchill gave a now famous speech while visiting Westminster College in the US which is usually credited as the first use of the term Iron Curtain to refer to the separation of Soviet and Western areas of influence in Europe:"
1946,"Elsewhere in Asia, The United States granted independence to the Philippines , its major Pacific possession in 1946."
1947,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan , which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
1949,"While at first the United States held a monopoly on the production of nuclear weapons, the Soviet Union, with some assistance from espionage, managed to detonate its first weapon (dubbed "" Joe-1 "" by the West) in August 1949."
1949,"The two rival blocks also coalesced into formal mutual defense organizations, with the formation of the North Atlantic Treaty Organization (NATO) in 1949 and the Warsaw Pact in 1955, each determine to expand its own influence among unaligned countries and limit the influence of their rivals."
1949,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics ."
1950,North Korea's invasion of South Korea on 25 June 1950 led to United Nations intervention.
1950,"The United States began a crash program to develop the first hydrogen bomb in 1950, and detonated its first thermonuclear weapon in 1952."
1952,"occupation, that would last seven years, until 1952."
1952,"The United States began a crash program to develop the first hydrogen bomb in 1950, and detonated its first thermonuclear weapon in 1952."
1953,"forces back, and an Armistice ended hostilities in July 1953, leaving the two Koreas divided and tense for the rest of the century."
1953,The Soviet Union detonated a primitive thermonuclear weapon in 1953 and a full-fledged one in 1955.
1954,"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two-halves, much like Korea, along the 17th parallel ."
1955,"The two rival blocks also coalesced into formal mutual defense organizations, with the formation of the North Atlantic Treaty Organization (NATO) in 1949 and the Warsaw Pact in 1955, each determine to expand its own influence among unaligned countries and limit the influence of their rivals."
1955,The Soviet Union detonated a primitive thermonuclear weapon in 1953 and a full-fledged one in 1955.
1956,"Between 1956 and 1962, almost 20 African countries achieved their independence from France."
1957,"With Cold War tensions running high, the Soviet Union and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik ."
1962,"Between 1956 and 1962, almost 20 African countries achieved their independence from France."
1968,"Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles (which would also become independent in 1976)."
1968,"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs."
1969,"pulled ahead eventually with its Mercury , Gemini , and Apollo programs, which culminated in Apollo 11 astronauts landing on the Moon on 20 July 1969."
1970,"In 1946, there were 35 member states in the United Nations, but as the newly independent nations joined the organization, by 1970 membership increased to 127."
1971,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan , which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
1975,"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time."
1976,"Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles (which would also become independent in 1976)."
1990,Occupation of Berlin would continue until 1990.
1991,"On 26 December 1991, the Soviet Union was officially disbanded into its constituent republics, thus putting a final line under the already exhausted Cold War ."
1999,"The celebration of the 20th century's ending expressed the popular opinion that New Year's Eve 1999 and New Year's Day 2000 marked the turn of the millennium , while strictly speaking the 20th century ended on New Year's Eve 2000 and the 21st century began on New Year's Day 2001."
2000,"The celebration of the 20th century's ending expressed the popular opinion that New Year's Eve 1999 and New Year's Day 2000 marked the turn of the millennium , while strictly speaking the 20th century ended on New Year's Eve 2000 and the 21st century began on New Year's Day 2001."
